food_id,food_name,caloric_value,protein,carbohydrates,fat
1733,chinese noodles,456.0,0.2,111.9,0.09
1734,vegetable macaroni cooked,172.0,6.1,35.7,0.1
1735,corn pasta dry,375.0,7.8,83.2,2.2
1736,egg noodles dry,146.0,5.4,27.1,1.7
1737,whole wheat spaghetti dry,98.0,4.1,21.2,0.4
1738,japanese soba noodles dry,95.0,4.1,21.1,0.2
1739,rice noodles dry,103.0,1.0,23.6,0.2
1740,spinach spaghetti dry,105.0,3.8,21.2,0.4
1741,egg noodles cooked,110.0,3.6,20.1,1.7
1742,japanese somen noodles cooked,231.0,7.0,48.5,0.3
1743,whole wheat macaroni dry,365.0,15.4,78.8,1.5
1744,pasta marinara and ground beef sauce,41.0,2.5,4.1,1.6
1745,macaroni raw,390.0,13.7,78.4,1.6
1746,spaghetti dry,105.0,3.7,21.1,0.4
1747,fusilli cucina,100.0,0.0,3.4,0.4
1748,japanese somen noodles dry,101.0,3.2,21.0,0.2
1749,pasta cooked,301.0,11.8,57.3,2.4
1750,macaroni cooked,221.0,8.1,43.2,1.3
1751,spinach egg noodles dry,145.0,5.6,26.7,1.7
1752,japanese soba noodles cooked,113.0,5.8,24.4,0.1
1753,rice noodles cooked,190.0,3.2,42.3,0.4
1754,whole wheat macaroni cooked,174.0,7.5,37.2,0.8
1755,spaghetti cooked,363.0,13.3,71.0,2.1
1756,whole wheat spaghetti cooked,174.0,7.5,37.2,0.8
1757,waffle,218.0,5.9,24.7,10.6
1758,baked taco shell,61.0,0.8,8.3,2.7
1759,puff pastry,1367.0,18.1,112.0,94.3
1760,blueberry muffin,214.0,2.6,30.2,9.2
1761,bread crumbs,427.0,14.4,77.7,5.7
1762,warm cinnamon roll mcdonalds,113.0,2.0,15.0,5.1
1763,corn muffin,201.0,3.9,33.7,5.5
1764,tortilla,467.0,14.3,98.4,1.9
1765,croutons seasoned,186.0,4.3,25.4,7.3
1766,buttermilk waffle,102.0,2.4,16.0,3.1
1767,flour tortilla,146.0,3.9,24.1,3.7
1768,glazed donut,55.0,0.8,6.2,3.0
1769,corn tortilla,52.0,1.4,10.7,0.7
1770,muffin,169.0,3.9,23.6,6.5
1771,croutons,33.0,1.0,5.9,0.5
1772,donut with jelly filling,289.0,5.0,33.2,15.9
1773,sweet cinnamon rolls,309.0,5.1,42.2,13.6
1774,oat bran muffin,46.0,1.2,8.2,1.3
1775,french cruller donut,169.0,1.3,24.4,7.5
1776,pancakes,86.0,2.4,10.8,3.7
1777,chocolate donut,250.0,2.7,34.4,11.9
1778,sweet cheese rolls,238.0,4.7,28.8,12.1
1779,eclair,234.0,4.4,11.2,19.2
1780,donut with cream filling,307.0,5.4,25.5,20.8
1781,fruit toaster pastry,209.0,2.4,37.1,5.6
1782,donut,192.0,2.3,22.9,10.3
1783,pancakes whole wheat,92.0,3.7,12.9,2.9
1784,keikitos,196.0,2.9,22.3,10.6
1785,zwieback,30.0,0.7,5.2,0.7
1786,chocolate coated donut,81.0,0.9,9.2,4.5
1787,waffle toasted,103.0,2.4,16.3,3.2
1788,cinnamon toaster pastry,206.0,2.6,34.1,7.1
1789,wheat bran bread,89.0,3.2,17.2,1.2
1790,white bread,77.0,2.6,14.3,1.0
1791,oat bran bread,71.0,3.1,11.9,1.3
1792,whole wheat bread natures own,50.0,0.0,0.0,1.0
1793,high protein bread dr zaks,152.0,0.0,15.3,3.0
1794,wheat bread,79.0,3.1,13.8,1.3
1795,egg bread toasted,117.0,3.9,19.5,2.4
1796,butter toastbrot ja,66.0,0.0,2.0,0.9
1797,vienna bread toasted,93.0,3.8,18.0,0.6
1798,vienna bread,92.0,3.8,18.1,0.6
1799,protein bread,47.0,2.3,8.3,0.4
1800,banana bread,186.0,2.5,31.1,6.0
1801,rice bran bread,66.0,2.4,11.7,1.2
1802,white fibre wonder bread,95.0,3.5,18.0,1.0
1803,focaccia,142.0,5.0,20.4,4.5
1804,oat bran bread toasted,70.0,3.1,11.8,1.3
1805,rye bread,83.0,2.7,15.5,1.1
1806,wheat germ bread,73.0,2.7,13.5,0.8
1807,protein bread toasted,46.0,2.2,8.2,0.4
1808,oatmeal bread,73.0,2.3,13.1,1.2
1809,arepa,215.0,5.4,36.4,5.3
1810,raisin bread toasted,86.0,2.5,16.5,1.4
1811,cracked wheat bread,74.0,2.5,14.0,1.1
1812,garlic bread,151.0,3.6,17.9,7.1
1813,rye bread toasted,82.0,2.7,15.4,1.0
1814,whole wheat bread,128.0,3.9,23.6,2.5
1815,whole wheat bread toasted,128.0,3.9,23.7,2.5
1816,pan dulce bread,231.0,5.9,35.5,7.3
1817,rice bran bread toasted,66.0,2.4,11.8,1.3
1818,pita bread whole wheat,74.0,2.7,15.4,0.7
1819,wheat germ bread toasted,73.0,2.7,13.6,0.8
1820,pumpernickel bread,65.0,2.3,12.4,0.8
1821,frybread,502.0,10.2,73.4,18.6
1822,white bread toasted,83.0,2.5,15.4,1.1
1823,piki bread,109.0,2.5,20.2,2.0
1824,wheat bread toasted,75.0,3.1,13.4,1.0
1825,pita bread,165.0,5.5,33.4,0.7
1826,potato bread,85.0,4.0,15.1,1.0
1827,egg bread,115.0,3.8,19.1,2.4
1828,oatmeal bread toasted,73.0,2.3,13.2,1.2
1829,cheese bread,196.0,5.0,21.5,10.0
1830,pumpernickel bread toasted,80.0,2.8,15.1,1.0
1831,raisin bread,88.0,2.5,16.7,1.4
1832,pumpernickel roll,77.0,3.0,14.8,0.8
1833,cinnamon raisin bagel,71.0,2.5,14.4,0.4
1834,english muffin,127.0,5.0,25.5,1.1
1835,rye dinner roll,123.0,4.4,22.8,1.5
1836,english muffin whole wheat,134.0,5.8,26.7,1.4
1837,dinner roll whole wheat,74.0,2.4,14.3,1.3
1838,dinner roll,76.0,2.4,12.9,1.8
1839,hotdog roll,117.0,4.1,21.1,1.6
1840,bagel,245.0,10.0,47.9,1.5
1841,oat bran bagel,176.0,7.4,36.8,0.8
1842,pain au chocolat de la boulangerie,235.0,0.0,0.0,12.0
1843,egg bagel,72.0,2.8,13.8,0.5
1844,english muffin toasted,140.0,5.4,27.4,1.1
1845,english muffin whole wheat toasted,135.0,5.9,26.9,1.4
1846,biscuit,357.0,7.1,45.0,16.5
1847,french roll,105.0,3.3,19.1,1.6
1848,oat bran dinner roll,78.0,3.1,13.3,1.5
1849,pecan shortbread cookies,76.0,0.7,8.2,4.6
1850,oatmeal cookies,113.0,1.6,17.2,4.5
1851,chocolate wafers,485.0,7.4,81.1,15.9
1852,vanilla wafers low fat,353.0,4.0,58.9,12.2
1853,chocolate chip cookies mcdonalds,136.0,1.6,18.7,6.4
1854,gingersnap cookies,29.0,0.4,5.4,0.7
1855,biscotti abbracci mulino bianco,54.0,0.4,0.8,2.6
1856,chocolate chip cookie,63.0,0.5,9.3,2.8
1857,brownie,243.0,2.9,38.3,9.8
1858,shortbread cookies,40.0,0.5,5.2,1.9
1859,oatmeal cookies with raisins,65.0,1.0,10.3,2.4
1860,peanut butter sandwich cookies,67.0,1.2,9.2,3.0
1861,sugar cookies,72.0,0.8,10.2,3.2
1862,chocolate covered graham crackers,68.0,0.8,9.3,3.2
1863,raisin cookies,60.0,0.6,10.2,2.0
1864,vanilla wafers,28.0,0.3,4.3,1.2
1865,graham crackers,355.0,5.8,64.5,8.5
1866,peanut butter cookies,95.0,1.8,11.8,4.8
1867,vanilla sandwich cookie,72.0,0.7,10.8,3.0
1868,sugar wafers with creme filling,51.0,0.4,7.1,2.3
1869,cheese puffs,197.0,2.1,18.6,12.8
1870,saltine crackers,13.0,0.3,2.2,0.3
1871,trail mix,139.0,4.1,13.5,8.8
1872,corn cones,144.0,1.6,17.8,7.6
1873,chocolate pretzels,50.0,0.8,7.8,1.8
1874,french toast sticks,73.0,1.3,8.9,3.8
1875,crackers,82.0,1.1,9.8,4.2
1876,sesame sticks,54.0,1.1,4.7,3.7
1877,cheese crackers,34.0,0.8,4.2,1.6
1878,oriental rice cracker mix,143.0,4.9,14.6,7.2
1879,breadsticks,103.0,3.0,17.1,2.4
1880,milk crackers,50.0,0.8,7.7,1.7
1881,matzo crackers whole wheat,98.0,3.7,22.1,0.4
1882,matzo crackers with egg,109.0,3.4,22.0,0.6
1883,granola bites,23.0,0.4,3.3,0.9
1884,crackers whole wheat,120.0,3.0,19.5,4.0
1885,tropical trail mix,619.0,8.8,91.8,23.9
1886,soft pretzels,389.0,9.4,79.8,3.6
1887,corn tostada shell,58.0,0.8,7.9,2.9
1888,matzo crackers,111.0,2.8,23.4,0.4
1889,sesame crunch,9.0,0.2,0.9,0.6
1890,trail mix with chocolate chips,707.0,20.7,65.6,46.6
1891,cracker meal,440.0,10.7,93.0,2.0
1892,puffed rice,153.0,2.4,34.1,0.2
1893,filinchen gutena,19.0,0.4,0.5,0.2
1894,melba toast crackers,117.0,3.6,23.0,1.0
1895,matzo crackers with egg onion,109.0,2.8,21.6,1.1
1896,cornnuts,126.0,2.4,20.3,4.4
1897,bagel chips,789.0,21.6,116.1,26.5
1898,pretzels,115.0,3.0,24.1,0.9
1899,potato raw,164.0,4.3,37.2,0.2
1900,gatto di patate home made,202.0,0.0,4.0,9.4
1901,baked potato,161.0,4.3,36.6,0.2
1902,potato sticks,188.0,2.4,19.2,12.4
1903,potato cooked,52.0,1.1,12.1,0.01
1904,vivaldi potatoes sainsburys,23.0,0.0,0.0,0.1
1905,potato ham chowder soup,192.0,6.5,13.4,12.5
1906,russet potato raw,292.0,7.9,66.7,0.3
1907,russet potato baked,290.0,7.9,64.1,0.4
1908,french fries,13.0,0.2,2.2,0.4
1909,potato scalloped,216.0,7.0,26.4,9.0
1910,cottage fries,11.0,0.2,1.9,0.4
1911,mashed potatoes,215.0,4.0,35.5,6.8
1912,mashed potato with milk and butter,237.0,3.9,35.3,8.9
1913,red potato raw,149.0,4.0,33.9,0.3
1914,potato pancake,59.0,1.3,6.1,3.2
1915,potato puffs,243.0,2.6,35.5,11.0
1916,red potato baked,74.0,2.0,16.7,0.1
1917,potatoes canned,132.0,3.6,29.7,0.3
1918,potato skin raw,22.0,1.0,4.7,0.1
1919,shoestring french fries,4.0,0.1,0.7,0.1
1920,hash brown potato,144.0,1.4,15.3,9.0
1921,baked chips lays,130.0,0.0,0.0,2.0
1922,corn chips,162.0,1.9,17.2,10.0
1923,nacho cheese tortilla chips low fat,90.0,2.4,18.5,1.0
1924,corn chips barbecue,1036.0,13.9,111.3,64.7
1925,corn chips unsalted,490.0,5.8,50.5,29.4
1926,potato chips fat free,860.0,21.9,190.1,1.4
1927,sweet chilli kettle baked chips,99.0,2.0,2.1,2.2
1928,taro chips,11.0,0.05,1.6,0.6
1929,potato chips reduced fat,801.0,12.1,113.7,35.4
1930,onion snacks,150.0,2.3,19.5,6.8
1931,potato chips cheese,843.0,14.5,98.1,46.2
1932,yuca cassava chips,9.0,0.05,1.2,0.4
1933,tortilla chips low fat,117.0,3.1,22.6,1.6
1934,ranch flavor tortilla chips,992.0,14.2,124.2,48.8
1935,potato chips,161.0,2.1,15.9,10.4
1936,tortilla chips,142.0,2.1,20.3,6.2
1937,sweet potato chips,149.0,0.8,15.9,9.1
1938,nacho cheese tortilla chips,156.0,2.2,18.2,8.2
1939,vegetable chips,134.0,1.5,17.1,6.6
1940,taco flavor tortilla chips,1090.0,17.9,143.2,54.9
1941,potato chips barbecue,970.0,15.2,104.5,64.2
1942,pita chips,137.0,3.5,20.5,4.6
1943,potato chips sour cream and onion,1051.0,16.0,102.0,67.1
1944,adobo fresco,780.0,5.8,53.6,60.2
1945,chili pepper sauce red,3.0,0.1,0.6,0.09
1946,creamy ranch sauce mcdonalds,132.0,0.3,1.0,14.7
1947,catsup,19.0,0.2,4.5,0.07
1948,chili pepper sauce green,3.0,0.1,0.8,0.03
1949,red wine vinegar,3.0,0.06,0.01,0.0
1950,fish sauce,6.0,0.9,0.7,0.01
1951,coleslaw dressing reduced fat,56.0,0.0,6.8,3.4
1952,sour dressing,21.0,0.4,0.6,2.0
1953,guava sauce cooked,86.0,0.8,22.6,0.3
1954,pizza sauce,136.0,5.5,21.8,2.9
1955,sweetn sour sauce mcdonalds,48.0,0.2,11.0,0.3
1956,nance syrup,4.0,0.03,0.8,0.0
1957,french dressing reduced fat,37.0,0.07,4.7,2.2
1958,peppercorn dressing,76.0,0.2,0.5,8.2
1959,sorghum syrup,61.0,0.0,15.7,0.0
1960,ranch dressing fat free,17.0,0.04,3.7,0.3
1961,caesar dressing low calorie,17.0,0.03,2.8,0.7
1962,sweet sour dressing,2.0,0.08,0.6,0.0
1963,mayonnaise imitation fat free,13.0,0.04,2.5,0.4
1964,sofrito,488.0,26.4,11.2,37.5
1965,turkey gravy instant,27.0,0.8,3.9,1.0
1966,teriyaki sauce,16.0,1.1,2.8,0.02
1967,tomato sauce,59.0,2.9,13.0,0.7
1968,barbecue sauce kraft,28.0,0.1,6.5,0.05
1969,cranberry sauce sweetened,418.0,0.6,107.8,0.4
1970,coleslaw dressing,62.0,0.1,3.8,5.3
1971,onion gravy dry,77.0,2.2,16.2,0.7
1972,corn syrup light,62.0,0.0,16.9,0.09
1973,bacon tomato dressing,49.0,0.3,0.3,5.3
1974,pancake syrup,53.0,0.0,13.9,0.08
1975,balsamic vinegar,14.0,0.04,2.7,0.0
1976,ranch dressing reduced fat,29.0,0.2,3.2,1.9
1977,barbecue sauce mcdonalds,46.0,0.4,10.3,0.3
1978,vinegar oil dressing,72.0,0.0,0.4,8.0
1979,poppyseed dressing,66.0,0.2,4.0,5.5
1980,honey mustard dressing,70.0,0.1,3.5,6.1
1981,french dressing fat free,21.0,0.01,5.1,0.02
1982,vinegar,3.0,0.0,0.09,0.0
1983,spray dressing,13.0,0.07,1.3,0.9
1984,honey mustard dressing fat free,25.0,0.2,5.8,0.2
1985,mushroom gravy,119.0,3.0,13.0,6.4
1986,white sauce,368.0,9.6,22.9,26.6
1987,marinara pasta sauce,129.0,3.7,19.9,3.9
1988,tomato sauce with mushrooms,86.0,3.6,20.7,0.3
1989,pork gravy powder,25.0,0.6,4.3,0.6
